"Fixed effect","Estimate","95% Lower CI","95% Upper CI","V[strain]","V[betwee-study]","V[within-study]","R2"
"Intercept (both-offspring sex-exercise mode-parental sex)",-0.0267098974481996,-0.267932939985568,0.214513145089168,0.0319204712462596,0.0372986521743513,0.0148800059101403,7.6383499239406
"Female offspring",0.0303183354516599,-0.133155849108935,0.193792520012255,NA,NA,NA,NA
"Male offspring",-0.116525266684894,-0.306432653180428,0.0733821198106389,NA,NA,NA,NA
"Mixed-sex offspring",-0.174405150092864,-0.450147223693457,0.101336923507729,NA,NA,NA,NA
"Forced exercise",-0.0390354138201501,-0.181955876614628,0.103885048974327,NA,NA,NA,NA
"Voluntary exercise",0.00683876049454092,-0.127845322254558,0.14152284324364,NA,NA,NA,NA
"Maternal exercise",0.00932399836038709,-0.0750887217749521,0.0937367184957263,NA,NA,NA,NA
"Paternal exercise",0.0170522090275167,-0.118900157605543,0.153004575660577,NA,NA,NA,NA
