"Model (variable weight)","Exercise mode","Exercised sex","Exercise timing","F1 ontogenetic stage","F1 sex","delta_AICc","Weight"
"Model1",NA,"+",NA,NA,NA,0,1
"(Sum of weights)","0.312","0.766","0.214","0.124","0.149",NA,NA
