"Fixed effect","Estimate","95% Lower CI","95% Upper CI","V[strain]","V[betwee-study]","V[within-study]","R2"
"Intercept (Female parent)",0.285646540708248,0.0953423006720165,0.475950780744479,0.0319204712462596,0.0372986521743513,0.0148800059101403,7.6383499239406
"Male parent",-0.113409321144191,-0.354737193263208,0.127918550974827,NA,NA,NA,NA
