"Fixed effect","Estimate","95% Lower CI","95% Upper CI","V[strain]","V[betwee-study]","V[within-study]","R2"
"Intercept (both-paternal sex-offspring sex-exercise mode)",0.132744232794275,-0.329406185742766,0.764712895745554,0.241635293857261,4.87386632178452e-05,0.367367867288559,2.7570906855816
"Maternal exercise",0.0326542383525982,-0.583800555894718,0.49480465688964,NA,NA,NA,NA
"Paternal exercise",0.160733507717106,-0.223206431998663,0.777188301964422,NA,NA,NA,NA
"Female offspring",-0.0514991391675761,-0.525034574904744,0.332440800548192,NA,NA,NA,NA
"Male offspring",0.162083977252426,-0.343834584035384,0.635619412989594,NA,NA,NA,NA
"Mixed-sex offspring",0.166513056928046,-0.134405763582682,0.672431618215856,NA,NA,NA,NA
"Forced exercise",0.05543137777064,-0.224312281930969,0.356350198281368,NA,NA,NA,NA
"Voluntary exercise",0.0447751602754101,-0.417375258261632,0.324518819977019,NA,NA,NA,NA
